alert_status,read,alert_name,alert_description,hostname,username,event,category,processid,process,parentprocessid,parentimage,image,commandline,servicename,displayname,executable,status,start,desc,signer,device_id,driver_version,friendly_name,is_signed,pdo,ec2_instance_id,sourceip,sourceport,destinationip,destinationport,sid,severity,analysis,analyzed_by,analyzed_at,systemfp,first_seen,last_seen,time_span
closed,read|2026-02-28T16:37:44.452333,⚠️ New Driver,A new driver was created recently. Check logs,DESKTOP-IAGNT81,,new driver found,,,,,,,,,,,,,Generic Non-PnP Monitor,Microsoft Windows,DISPLAY\DEFAULT_MONITOR\4&427137E&0&UID0,10.0.19041.5794,,True,\Device\0000008c,No instance ID,,,,,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,LOW,file,new_analyst,2026-02-28T16:37:44.445467,False,2026-01-02 12:09:09,2026-01-02 12:09:09,0 days
closed,read|2026-02-28T16:40:15.931084,⚠️ New Driver,A new driver was created recently. Check logs,DESKTOP-IAGNT81,,new driver found,,,,,,,,,,,,,Generic Non-PnP Monitor,Microsoft Windows,DISPLAY\DEFAULT_MONITOR\4&427137E&0&UID0,10.0.19041.5794,,True,\Device\0000008d,No instance ID,,,,,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,LOW,file,new_analyst,2026-02-28T16:40:15.923202,False,2026-01-02 14:16:50,2026-01-02 14:16:50,0 days
open,read|2026-02-28T16:24:36.832251,🚨 Cursor Shelled Out,Cursor.exe (Cursor) started the cmd.exe shell.,DESKTOP-IAGNT81,DESKTOP-IAGNT81\flynn,,process_creation,65532.0,cmd.exe,150768.0,Cursor.exe,C:\Windows\System32\cmd.exe,C:\WINDOWS\system32\cmd.exe /d /s /c %windir%\System32\REG.exe QUERY HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Cryptography /v MachineGuid,,,,,,,,,,,,,,,,,,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,LOW,file,alert_analyst,2026-02-28T16:24:36.822322,False,2026-01-12 10:21:58,2026-01-12 10:21:58,0 days
open,read|2026-02-28T16:42:31.438839,⚠️ New Service,A new service was created recently.,DESKTOP-IAGNT81,LocalSystem,new service,,,,,,,,VM3DService,VMware SVGA Helper Service,C:\WINDOWS\system32\vm3dservice.exe,running,automatic,,,,,,,,,,,,,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,LOW,file,new_analyst,2026-02-28T16:42:31.430500,False,2026-01-12 11:18:46,2026-01-12 11:18:46,0 days
open,read|2026-02-28T17:19:47.790749,⚠️ New Service,A new service was created recently.,DESKTOP-IAGNT81,LocalSystem,new service,,,,,,,,vmvss,VMware Snapshot Provider,C:\WINDOWS\system32\dllhost.exe /Processid:{6353A7D0-7FEE-4A1C-ACE3-41216D022559},stopped,manual,,,,,,,,,,,,,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,LOW,file,new_analyst,2026-02-28T17:19:47.790053,False,2026-01-12 11:18:46,2026-01-12 11:18:46,0 days
open,read|2026-02-28T17:22:03.920136,⚠️Sublime Text Internet Activity,sublime_text.exe created an outbound connection.,DESKTOP-IAGNT81,DESKTOP-IAGNT81\flynn,,network_connection,12168.0,sublime_text.exe,,,,,,,,ESTABLISHED,,,,,,,,,,192.168.1.42,61497.0,45.55.41.223,443.0,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,MEDIUM,file,alert_analyst,2026-02-28T17:22:03.867408,False,2026-01-13 06:28:50,2026-01-13 06:28:50,0 days
open,read|2026-02-28T17:23:51.857444,⚠️Sublime Text Internet Activity,sublime_text.exe created an outbound connection.,DESKTOP-IAGNT81,DESKTOP-IAGNT81\flynn,,network_connection,12168.0,sublime_text.exe,,,,,,,,CLOSE_WAIT,,,,,,,,,,192.168.1.42,61497.0,45.55.41.223,443.0,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,MEDIUM,file,alert_analyst,2026-02-28T17:23:51.842513,False,2026-01-13 06:29:00,2026-01-13 06:29:00,0 days
open,read|2026-02-28T18:31:47.617094,⚠️Cursor Internet Activity,Cursor.exe created an outbound connection.,DESKTOP-IAGNT81,DESKTOP-IAGNT81\flynn,,network_connection,234556.0,Cursor.exe,,,,,,,,ESTABLISHED,,,,,,,,,,192.168.1.42,11777.0,100.30.79.224,443.0,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,LOW,file,alert_analyst,2026-02-28T18:31:47.617094,False,2026-01-13 09:13:13,2026-01-13 09:13:13,0 days
open,read|2026-02-28T18:49:36.767233,🚨 Python Internet Activity,Python made an unusual outbound connection.,DESKTOP-IAGNT81,DESKTOP-IAGNT81\flynn,,network_connection,17004.0,python.exe,,,,,,,,ESTABLISHED,,,,,,,,,,192.168.1.42,61566.0,34.41.118.55,8080.0,,CRITICAL,file,alert_analyst,2026-02-28T18:49:36.633237,False,2026-02-13 11:40:59,2026-02-13 11:40:59,0 days
open,,🚨 Python Internet Activity,Python made an unusual outbound connection.,DESKTOP-IAGNT81,DESKTOP-IAGNT81\flynn,,network_connection,16788.0,python.exe,,,,,,,,SYN_SENT,,,,,,,,,,192.168.1.42,61458.0,34.41.118.55,8080.0,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,,,,,,2026-02-13 11:39:22,2026-02-13 11:39:22,0 days
open,,🚨 Python Shelled Out,Python.exe (Python) started the cmd.exe shell.,DESKTOP-IAGNT81,DESKTOP-IAGNT81\flynn,,,468.0,cmd.exe,17004.0,python.exe,C:\Windows\System32\cexe /c net user,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-13 11:49:35,2026-02-13 11:49:35,0 days
open,,🚨 Python Shelled Out,Python.exe (Python) started the cmd.exe shell.,DESKTOP-IAGNT81,DESKTOP-IAGNT81\flynn,,,5672.0,cmd.exe,17004.0,python.exe,C:\Windows\System32d.exe /c,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-13 11:41:08,2026-02-13 11:41:08,0 days
open,,🚨 Python Shelled Out,Python.exe (Python) started the cmd.exe shell.,DESKTOP-IAGNT81,DESKTOP-IAGNT81\flynn,,,12264.0,cmd.exe,17004.0,python.exe,C:\Windows\System3md.exe /c net view,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-13 11:50:10,2026-02-13 11:50:10,0 days
open,,🚨 Python Shelled Out,Python.exe (Python) started the cmd.exe shell.,DESKTOP-IAGNT81,DESKTOP-IAGNT81\flynn,,,16272.0,cmd.exe,17004.0,python.exe,C:\Windows\System32d.exe /c ipconfig,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-13 11:41:24,2026-02-13 11:41:24,0 days
